,Tracks,Artist,Albums,Links
925,Megalomania,Black Sabbath,"""Sabotage"" (1975)",https://www.azlyrics.com/lyrics/blacksabbath/megalomania.html
926,The Thrill Of It All,Black Sabbath,"""Sabotage"" (1975)",https://www.azlyrics.com/lyrics/blacksabbath/thethrillofitall.html
927,n/a,Black Sabbath,"""Sabotage"" (1975)",n/a
928,Am I Going Insane (Radio),Black Sabbath,"""Sabotage"" (1975)",https://www.azlyrics.com/lyrics/blacksabbath/amigoinginsaneradio.html
929,The Writ,Black Sabbath,"""Sabotage"" (1975)",https://www.azlyrics.com/lyrics/blacksabbath/thewrit.html
930,Blow On A Jug,Black Sabbath,"""Sabotage"" (1975)",https://www.azlyrics.com/lyrics/blacksabbath/blowonajug.html
931,Back Street Kids,Black Sabbath,"""Technical Ecstasy"" (1976)",https://www.azlyrics.com/lyrics/blacksabbath/backstreetkids.html
932,You Won't Change Me,Black Sabbath,"""Technical Ecstasy"" (1976)",https://www.azlyrics.com/lyrics/blacksabbath/youwontchangeme.html
933,It's Alright,Black Sabbath,"""Technical Ecstasy"" (1976)",https://www.azlyrics.com/lyrics/blacksabbath/itsalright.html
934,Gypsy,Black Sabbath,"""Technical Ecstasy"" (1976)",https://www.azlyrics.com/lyrics/blacksabbath/gypsy.html
935,All Moving Parts (Stand Still),Black Sabbath,"""Technical Ecstasy"" (1976)",https://www.azlyrics.com/lyrics/blacksabbath/allmovingpartsstandstill.html
936,Rock 'N' Roll Doctor,Black Sabbath,"""Technical Ecstasy"" (1976)",https://www.azlyrics.com/lyrics/blacksabbath/rocknrolldoctor.html
937,She's Gone,Black Sabbath,"""Technical Ecstasy"" (1976)",https://www.azlyrics.com/lyrics/blacksabbath/shesgone.html
938,Dirty Women,Black Sabbath,"""Technical Ecstasy"" (1976)",https://www.azlyrics.com/lyrics/blacksabbath/dirtywomen.html
939,Never Say Die,Black Sabbath,"""Never Say Die!"" (1978)",https://www.azlyrics.com/lyrics/blacksabbath/neversaydie.html
940,Johnny Blade,Black Sabbath,"""Never Say Die!"" (1978)",https://www.azlyrics.com/lyrics/blacksabbath/johnnyblade.html
941,Junior's Eyes,Black Sabbath,"""Never Say Die!"" (1978)",https://www.azlyrics.com/lyrics/blacksabbath/juniorseyes.html
942,Hard Road,Black Sabbath,"""Never Say Die!"" (1978)",https://www.azlyrics.com/lyrics/blacksabbath/hardroad.html
943,Shock Wave,Black Sabbath,"""Never Say Die!"" (1978)",https://www.azlyrics.com/lyrics/blacksabbath/shockwave.html
944,Air Dance,Black Sabbath,"""Never Say Die!"" (1978)",https://www.azlyrics.com/lyrics/blacksabbath/airdance.html
945,Over To You,Black Sabbath,"""Never Say Die!"" (1978)",https://www.azlyrics.com/lyrics/blacksabbath/overtoyou.html
946,n/a,Black Sabbath,"""Never Say Die!"" (1978)",n/a
947,Swinging The Chain,Black Sabbath,"""Never Say Die!"" (1978)",https://www.azlyrics.com/lyrics/blacksabbath/swingingthechain.html
948,Neon Knights,Black Sabbath,"""Heaven And Hell"" (1980)",https://www.azlyrics.com/lyrics/blacksabbath/neonknights.html
949,Children Of The Sea,Black Sabbath,"""Heaven And Hell"" (1980)",https://www.azlyrics.com/lyrics/blacksabbath/childrenofthesea.html
950,Lady Evil,Black Sabbath,"""Heaven And Hell"" (1980)",https://www.azlyrics.com/lyrics/blacksabbath/ladyevil.html
951,Heaven And Hell,Black Sabbath,"""Heaven And Hell"" (1980)",https://www.azlyrics.com/lyrics/blacksabbath/heavenandhell.html
952,Wishing Well,Black Sabbath,"""Heaven And Hell"" (1980)",https://www.azlyrics.com/lyrics/blacksabbath/wishingwell.html
953,Die Young,Black Sabbath,"""Heaven And Hell"" (1980)",https://www.azlyrics.com/lyrics/blacksabbath/dieyoung.html
954,Walk Away,Black Sabbath,"""Heaven And Hell"" (1980)",https://www.azlyrics.com/lyrics/blacksabbath/walkaway.html
955,Lonely Is The Word,Black Sabbath,"""Heaven And Hell"" (1980)",https://www.azlyrics.com/lyrics/blacksabbath/lonelyistheword.html
956,Turn Up The Night,Black Sabbath,"""Mob Rules"" (1981)",https://www.azlyrics.com/lyrics/blacksabbath/turnupthenight.html
957,Voodoo,Black Sabbath,"""Mob Rules"" (1981)",https://www.azlyrics.com/lyrics/blacksabbath/voodoo.html
958,The Sign Of The Southern Cross,Black Sabbath,"""Mob Rules"" (1981)",https://www.azlyrics.com/lyrics/blacksabbath/thesignofthesoutherncross.html
959,The Mob Rules,Black Sabbath,"""Mob Rules"" (1981)",https://www.azlyrics.com/lyrics/blacksabbath/themobrules.html
960,Country Girl,Black Sabbath,"""Mob Rules"" (1981)",https://www.azlyrics.com/lyrics/blacksabbath/countrygirl.html
961,Slipping Away,Black Sabbath,"""Mob Rules"" (1981)",https://www.azlyrics.com/lyrics/blacksabbath/slippingaway.html
962,Falling Off The Edge Of The World,Black Sabbath,"""Mob Rules"" (1981)",https://www.azlyrics.com/lyrics/blacksabbath/fallingofftheedgeoftheworld.html
963,Over And Over,Black Sabbath,"""Mob Rules"" (1981)",https://www.azlyrics.com/lyrics/blacksabbath/overandover.html
964,Trashed,Black Sabbath,"""Born Again"" (1983)",https://www.azlyrics.com/lyrics/blacksabbath/trashed.html
965,Disturbing The Priest,Black Sabbath,"""Born Again"" (1983)",https://www.azlyrics.com/lyrics/blacksabbath/disturbingthepriest.html
966,Zero The Hero,Black Sabbath,"""Born Again"" (1983)",https://www.azlyrics.com/lyrics/blacksabbath/zerothehero.html
967,Digital Bitch,Black Sabbath,"""Born Again"" (1983)",https://www.azlyrics.com/lyrics/blacksabbath/digitalbitch.html
968,Born Again,Black Sabbath,"""Born Again"" (1983)",https://www.azlyrics.com/lyrics/blacksabbath/bornagain.html
969,Hot Line,Black Sabbath,"""Born Again"" (1983)",https://www.azlyrics.com/lyrics/blacksabbath/hotline.html
970,Keep It Warm,Black Sabbath,"""Born Again"" (1983)",https://www.azlyrics.com/lyrics/blacksabbath/keepitwarm.html
971,The Fallen,Black Sabbath,"""Born Again"" (1983)",https://www.azlyrics.com/lyrics/blacksabbath/thefallen.html
972,In For The Kill,Black Sabbath,"""Seventh Star"" (1986)",https://www.azlyrics.com/lyrics/blacksabbath/inforthekill.html
973,No Stranger To Love,Black Sabbath,"""Seventh Star"" (1986)",https://www.azlyrics.com/lyrics/blacksabbath/nostrangertolove.html
974,Turn To Stone,Black Sabbath,"""Seventh Star"" (1986)",https://www.azlyrics.com/lyrics/blacksabbath/turntostone.html
975,Seventh Star,Black Sabbath,"""Seventh Star"" (1986)",https://www.azlyrics.com/lyrics/blacksabbath/seventhstar.html
976,Danger Zone,Black Sabbath,"""Seventh Star"" (1986)",https://www.azlyrics.com/lyrics/blacksabbath/dangerzone.html
977,Heart Like A Wheel,Black Sabbath,"""Seventh Star"" (1986)",https://www.azlyrics.com/lyrics/blacksabbath/heartlikeawheel.html
978,Angry Heart,Black Sabbath,"""Seventh Star"" (1986)",https://www.azlyrics.com/lyrics/blacksabbath/angryheart.html
979,In Memory...,Black Sabbath,"""Seventh Star"" (1986)",https://www.azlyrics.com/lyrics/blacksabbath/inmemory.html
980,The Shining,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/theshining.html
981,Ancient Warrior,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/ancientwarrior.html
982,Hard Life To Love,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/hardlifetolove.html
983,Glory Ride,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/gloryride.html
984,Born To Lose,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/borntolose.html
985,Nightmare,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/nightmare.html
986,n/a,Black Sabbath,"""The Eternal Idol"" (1987)",n/a
987,Lost Forever,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/lostforever.html
988,Eternal Idol,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/eternalidol.html
989,Some Kind Of Woman,Black Sabbath,"""The Eternal Idol"" (1987)",https://www.azlyrics.com/lyrics/blacksabbath/somekindofwoman.html
990,Headless Cross,Black Sabbath,"""Headless Cross"" (1989)",https://www.azlyrics.com/lyrics/blacksabbath/headlesscross.html
991,Devil And Daughter,Black Sabbath,"""Headless Cross"" (1989)",https://www.azlyrics.com/lyrics/blacksabbath/devilanddaughter.html
992,When Death Calls,Black Sabbath,"""Headless Cross"" (1989)",https://www.azlyrics.com/lyrics/blacksabbath/whendeathcalls.html
993,Kill In The Spirit World,Black Sabbath,"""Headless Cross"" (1989)",https://www.azlyrics.com/lyrics/blacksabbath/killinthespiritworld.html
994,Call Of The Wild,Black Sabbath,"""Headless Cross"" (1989)",https://www.azlyrics.com/lyrics/blacksabbath/callofthewild.html
995,Black Moon,Black Sabbath,"""Headless Cross"" (1989)",https://www.azlyrics.com/lyrics/blacksabbath/blackmoon.html
996,Nightwing,Black Sabbath,"""Headless Cross"" (1989)",https://www.azlyrics.com/lyrics/blacksabbath/nightwing.html
997,Cloak And Dagger,Black Sabbath,"""Headless Cross"" (1989)",https://www.azlyrics.com/lyrics/blacksabbath/cloakanddagger.html
998,Anno Mundi,Black Sabbath,"""Tyr"" (1990)",https://www.azlyrics.com/lyrics/blacksabbath/annomundi.html
999,The Law Maker,Black Sabbath,"""Tyr"" (1990)",https://www.azlyrics.com/lyrics/blacksabbath/thelawmaker.html
1000,Jerusalem,Black Sabbath,"""Tyr"" (1990)",https://www.azlyrics.com/lyrics/blacksabbath/jerusalem.html
1001,The Sabbath Stones,Black Sabbath,"""Tyr"" (1990)",https://www.azlyrics.com/lyrics/blacksabbath/thesabbathstones.html
1002,Odin's Court,Black Sabbath,"""Tyr"" (1990)",https://www.azlyrics.com/lyrics/blacksabbath/odinscourt.html
1003,Valhalla,Black Sabbath,"""Tyr"" (1990)",https://www.azlyrics.com/lyrics/blacksabbath/valhalla.html
1004,Feels Good To Me,Black Sabbath,"""Tyr"" (1990)",https://www.azlyrics.com/lyrics/blacksabbath/feelsgoodtome.html
1005,Heaven In Black,Black Sabbath,"""Tyr"" (1990)",https://www.azlyrics.com/lyrics/blacksabbath/heaveninblack.html
1006,Computer God,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/computergod.html
1007,After All (The Dead),Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/afterallthedead.html
1008,TV Crimes,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/tvcrimes.html
1009,Letters From Earth,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/lettersfromearth.html
1010,Master Of Insanity,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/masterofinsanity.html
1011,Time Machine,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/timemachine.html
1012,Sins Of The Father,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/sinsofthefather.html
1013,Too Late,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/toolate.html
1014,I,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/i.html
1015,Buried Alive,Black Sabbath,"""Dehumanizer"" (1992)",https://www.azlyrics.com/lyrics/blacksabbath/buriedalive.html
1016,I Witness,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/iwitness.html
1017,Cross Of Thorns,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/crossofthorns.html
1018,Psychophobia,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/psychophobia.html
1019,Virtual Death,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/virtualdeath.html
1020,Immaculate Deception,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/immaculatedeception.html
1021,Dying For Love,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/dyingforlove.html
1022,Back To Eden,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/backtoeden.html
1023,The Hand That Rocks The Cradle,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/thehandthatrocksthecradle.html
1024,Cardinal Sin,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/cardinalsin.html
1025,Evil Eye,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/evileye.html
1026,What's The Use?,Black Sabbath,"""Cross Purposes"" (1994)",https://www.azlyrics.com/lyrics/blacksabbath/whatstheuse.html
1027,The Illusion Of Power,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/theillusionofpower.html
1028,Get A Grip,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/getagrip.html
1029,Can't Get Close Enough To You,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/cantgetcloseenoughtoyou.html
1030,Shaking Off The Chains,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/shakingoffthechains.html
1031,I Won't Cry For You,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/iwontcryforyou.html
1032,Guilty As Hell,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/guiltyashell.html
1033,Sick And Tired,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/sickandtired.html
1034,Rusty Angels,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/rustyangels.html
1035,Forbidden,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/forbidden.html
1036,Kiss Of Death,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/kissofdeath.html
1037,Loser Gets It All,Black Sabbath,"""Forbidden"" (1995)",https://www.azlyrics.com/lyrics/blacksabbath/losergetsitall.html
1038,War Pigs,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/warpigs.html
1039,Behind The Wall Of Sleep,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/behindthewallofsleep.html
1040,N.I.B.,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/nib.html
1041,Fairies Wear Boots,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/fairieswearboots.html
1042,Electric Funeral,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/electricfunerallive.html
1043,Sweet Leaf,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/sweetleaf.html
1044,Spiral Architect,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/spiralarchitect.html
1045,Into The Void,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/intothevoid.html
1046,Snowblind,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/snowblind63845.html
1047,Sabbath Bloody Sabbath,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/sabbathbloodysabbath.html
1048,Lord Of This World,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/lordofthisworld.html
1049,Dirty Women,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/dirtywomenlive.html
1050,Black Sabbath,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/blacksabbath.html
1051,Iron Man,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/ironman.html
1052,Children Of The Grave,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/childrenofthegrave.html
1053,Paranoid,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/paranoid.html
1054,Psycho Man,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/psychoman.html
1055,Selling My Soul,Black Sabbath,"""Reunion"" (1998)",https://www.azlyrics.com/lyrics/blacksabbath/sellingmysoul.html
1056,Neon Knights,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/neonknights.html
1057,Lady Evil,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/ladyevil.html
1058,Heaven And Hell,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/heavenandhell.html
1059,Die Young,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/dieyoung.html
1060,Lonely Is The Word,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/lonelyistheword.html
1061,The Mob Rules,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/themobrules.html
1062,Turn Up The Night,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/turnupthenight.html
1063,Voodoo,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/voodoo.html
1064,Falling Off The Edge Of The World,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/fallingofftheedgeoftheworld.html
1065,After All (The Dead),Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/afterallthedead.html
1066,TV Crimes,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/tvcrimes.html
1067,I,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/i.html
1068,Children Of The Sea,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/childrenofthesea.html
1069,The Devil Cried,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/thedevilcried.html
1070,Shadow Of The Wind,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/shadowofthewind.html
1071,Ear In The Wall,Black Sabbath,"""The Dio Years"" (2007)",https://www.azlyrics.com/lyrics/blacksabbath/earinthewall.html
1072,End Of The Beginning,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/endofthebeginning.html
1073,God Is Dead?,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/godisdead.html
1074,Loner,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/loner.html
1075,Zeitgeist,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/zeitgeist.html
1076,Age Of Reason,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/ageofreason.html
1077,Live Forever,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/liveforever.html
1078,Damaged Soul,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/damagedsoul.html
1079,Dear Father,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/dearfather.html
1080,Methademic,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/methademic.html
1081,Peace Of Mind,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/peaceofmind.html
1082,Pariah,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/pariah.html
1083,NaÃ¯vetÃ© In Black,Black Sabbath,"""13"" (2013)",https://www.azlyrics.com/lyrics/blacksabbath/navetinblack.html
1084,Season Of The Dead,Black Sabbath,"""The End"" (2016)",https://www.azlyrics.com/lyrics/blacksabbath/seasonofthedead.html
1085,Cry All Night,Black Sabbath,"""The End"" (2016)",https://www.azlyrics.com/lyrics/blacksabbath/cryallnight.html
1086,Take Me Home,Black Sabbath,"""The End"" (2016)",https://www.azlyrics.com/lyrics/blacksabbath/takemehome.html
1087,Isolated Man,Black Sabbath,"""The End"" (2016)",https://www.azlyrics.com/lyrics/blacksabbath/isolatedman.html
1088,God Is Dead? (Live),Black Sabbath,"""The End"" (2016)",https://www.azlyrics.com/lyrics/blacksabbath/godisdeadlive.html
1089,Under The Sun (Live),Black Sabbath,"""The End"" (2016)",https://www.azlyrics.com/lyrics/blacksabbath/underthesunlive.html
1090,End Of The Beginning (Live),Black Sabbath,"""The End"" (2016)",https://www.azlyrics.com/lyrics/blacksabbath/endofthebeginninglive.html
1091,Age Of Reason (Live),Black Sabbath,"""The End"" (2016)",https://www.azlyrics.com/lyrics/blacksabbath/ageofreasonlive.html
1092,Early One Morning Blues (1969 Demo),Black Sabbath,songs:,https://www.azlyrics.com/lyrics/blacksabbath/earlyonemorningblues1969demo.html
1093,Iron Man,Black Sabbath,songs:,https://www.azlyrics.com/lyrics/blacksabbath/ironman542978.html
1094,The Rebel (1969 Demo),Black Sabbath,songs:,https://www.azlyrics.com/lyrics/blacksabbath/therebel1969demo.html
1095,When I Came Down (1969 Demo),Black Sabbath,songs:,https://www.azlyrics.com/lyrics/blacksabbath/whenicamedown1969demo.html
1096,Good Times Bad Times,Led Zeppelin,"""Led Zeppelin I"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/goodtimesbadtimes.html
1097,"Babe, I'm Gonna Leave You",Led Zeppelin,"""Led Zeppelin I"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/babeimgonnaleaveyou.html
1098,You Shook Me,Led Zeppelin,"""Led Zeppelin I"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/youshookme.html
1099,Dazed And Confused,Led Zeppelin,"""Led Zeppelin I"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/dazedandconfused.html
1100,Your Time Is Gonna Come,Led Zeppelin,"""Led Zeppelin I"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/yourtimeisgonnacome.html
1101,Communication Breakdown,Led Zeppelin,"""Led Zeppelin I"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/communicationbreakdown.html
1102,I Can't Quit You Baby,Led Zeppelin,"""Led Zeppelin I"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/icantquityoubaby15292.html
1103,How Many More Times,Led Zeppelin,"""Led Zeppelin I"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/howmanymoretimes.html
1104,Whole Lotta Love,Led Zeppelin,"""Led Zeppelin II"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/wholelottalove.html
1105,What Is And What Should Never Be,Led Zeppelin,"""Led Zeppelin II"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/whatisandwhatshouldneverbe.html
1106,The Lemon Song,Led Zeppelin,"""Led Zeppelin II"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/thelemonsong.html
1107,Thank You,Led Zeppelin,"""Led Zeppelin II"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/thankyou.html
1108,Heartbreaker,Led Zeppelin,"""Led Zeppelin II"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/heartbreaker.html
1109,Living Loving Maid (She's Just A Woman),Led Zeppelin,"""Led Zeppelin II"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/livinglovingmaidshesjustawoman.html
1110,Ramble On,Led Zeppelin,"""Led Zeppelin II"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/rambleon.html
1111,Bring It On Home,Led Zeppelin,"""Led Zeppelin II"" (1969)",https://www.azlyrics.com/lyrics/ledzeppelin/bringitonhome.html
1112,Immigrant Song,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/immigrantsong.html
1113,Friends,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/friends.html
1114,Celebration Day,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/celebrationday.html
1115,Since I've Been Loving You,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/sinceivebeenlovingyou.html
1116,Out On The Tiles,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/outonthetiles.html
1117,Gallows Pole,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/gallowspole.html
1118,Tangerine,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/tangerine.html
1119,That's The Way,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/thatstheway.html
1120,Bron-Y-Aur Stomp,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/bronyaurstomp.html
1121,Hats Off To (Roy) Harper,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/hatsofftoroyharper.html
1122,Key To The Highway / Trouble In Mind,Led Zeppelin,"""Led Zeppelin III"" (1970)",https://www.azlyrics.com/lyrics/ledzeppelin/keytothehighwaytroubleinmind.html
1123,Black Dog,Led Zeppelin,"""Led Zeppelin IV"" (1971)",https://www.azlyrics.com/lyrics/ledzeppelin/blackdog.html
1124,Rock And Roll,Led Zeppelin,"""Led Zeppelin IV"" (1971)",https://www.azlyrics.com/lyrics/ledzeppelin/rockandroll.html
1125,The Battle Of Evermore,Led Zeppelin,"""Led Zeppelin IV"" (1971)",https://www.azlyrics.com/lyrics/ledzeppelin/thebattleofevermore.html
1126,Stairway To Heaven,Led Zeppelin,"""Led Zeppelin IV"" (1971)",https://www.azlyrics.com/lyrics/ledzeppelin/stairwaytoheaven.html
1127,Misty Mountain Hop,Led Zeppelin,"""Led Zeppelin IV"" (1971)",https://www.azlyrics.com/lyrics/ledzeppelin/mistymountainhop.html
1128,Four Sticks,Led Zeppelin,"""Led Zeppelin IV"" (1971)",https://www.azlyrics.com/lyrics/ledzeppelin/foursticks.html
1129,Going To California,Led Zeppelin,"""Led Zeppelin IV"" (1971)",https://www.azlyrics.com/lyrics/ledzeppelin/goingtocalifornia.html
1130,When The Levee Breaks,Led Zeppelin,"""Led Zeppelin IV"" (1971)",https://www.azlyrics.com/lyrics/ledzeppelin/whentheleveebreaks.html
1131,The Song Remains The Same,Led Zeppelin,"""Houses Of The Holy"" (1973)",https://www.azlyrics.com/lyrics/ledzeppelin/thesongremainsthesame.html
1132,The Rain Song,Led Zeppelin,"""Houses Of The Holy"" (1973)",https://www.azlyrics.com/lyrics/ledzeppelin/therainsong.html
